,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
113,I Wish,Stevie Wonder,0.821,0.721,10,-10.401,0,0.0515,0.0816,7.37e-06,0.0664,0.885,105.866,252373,4
114,Come and Get Your Love - Single Version,Redbone,0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,205933,4
115,Johnny B. Goode,Chuck Berry,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560,4
116,Got to Be Real - Single Version,Cheryl Lynn,0.83,0.711,5,-7.462,1,0.0448,0.202,0.0448,0.137,0.901,114.646,223173,4
117,Let's Groove,"Earth, Wind & Fire",0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4
118,Peace of Mind,Boston,0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,303587,4
119,Never Gonna Give You Up,Rick Astley,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,213573,4
120,Kiss,Prince,0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,226240,4
121,U Can't Touch This,MC Hammer,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360,4
122,September,"Earth, Wind & Fire",0.689,0.912,9,-3.673,1,0.0302,0.174,0.000243,0.298,0.982,125.94,216347,4
123,Good Times,CHIC,0.87,0.657,2,-7.32,1,0.0522,0.149,0.0102,0.053,0.893,110.596,495400,4
124,The Best - Edit,Tina Turner,0.68,0.701,0,-10.46,1,0.0275,0.0341,0.00479,0.114,0.824,103.789,253593,4
125,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4
126,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.733,0.795,1,-7.224,0,0.0249,0.0266,0.000948,0.083,0.892,109.122,212253,4
127,Don't Stop - 2004 Remaster,Fleetwood Mac,0.672,0.72,9,-7.781,1,0.035,0.0373,9.38e-06,0.0371,0.828,118.731,193347,4
128,Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,0.882,0.94,11,-4.235,1,0.0797,0.0675,0.0262,0.115,0.92,119.237,364560,4
129,Escape (The Pina Colada Song),Rupert Holmes,0.824,0.739,0,-7.198,1,0.0602,0.24,1.43e-06,0.0866,0.954,139.344,275293,4
130,Kid Charlemagne,Steely Dan,0.534,0.69,0,-9.644,1,0.0635,0.273,0.00501,0.654,0.763,95.905,278800,4
131,Go Your Own Way - 2004 Remaster,Fleetwood Mac,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,4
132,Champagne Supernova,Oasis,0.302,0.855,2,-2.262,1,0.037,0.209,0.00281,0.354,0.11,150.426,450507,4
133,Your Love,The Outfield,0.579,0.654,1,-12.421,0,0.0553,0.121,3.62e-06,0.0673,0.616,129.537,216467,4
134,All Right Now,Free,0.766,0.446,2,-13.079,1,0.0867,0.25,0.000704,0.318,0.743,119.774,332907,4
135,"Head Over Heels - Dave Bascombe 7"" N.Mix",Tears For Fears,0.623,0.739,7,-8.116,1,0.0244,0.338,1.88e-05,0.109,0.642,95.007,257316,4
136,Let's Dance - 1999 Remaster,David Bowie,0.619,0.703,10,-9.414,0,0.0525,0.00388,0.205,0.163,0.709,115.043,457133,4
137,You Spin Me Round (Like a Record),Dead Or Alive,0.567,0.943,6,-7.992,0,0.0387,0.0312,0.0965,0.544,0.965,128.207,199667,4
138,Take on Me,a-ha,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4
139,Let's Go Crazy,Prince,0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,280000,4
140,Enjoy the Silence,Depeche Mode,0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,255133,4
141,Free Fallin',Tom Petty,0.617,0.435,5,-13.547,1,0.0256,0.178,0,0.0822,0.601,84.382,256667,4
142,Take It Easy - 2013 Remaster,Eagles,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578,4
143,Hotel California - 2013 Remaster,Eagles,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4
144,Message In A Bottle,The Police,0.577,0.808,1,-7.04,0,0.039,0.0338,1.33e-05,0.221,0.869,151.008,290280,4
145,Every Little Thing She Does Is Magic,The Police,0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,260573,4
146,Carry on Wayward Son,Kansas,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,323000,4
147,Summer Of '69,Bryan Adams,0.508,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.131,216053,4
148,Born to Run,Bruce Springsteen,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,4
149,Walk This Way,Aerosmith,0.653,0.73,5,-10.613,1,0.043,0.0114,1.03e-05,0.0754,0.894,108.705,220400,4
150,Hold the Line,TOTO,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,235547,4
151,Any Way You Want It,Journey,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,201693,4
152,Come Together - Remastered 2009,The Beatles,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4
153,Day Tripper - Remastered 2015,The Beatles,0.665,0.782,6,-8.438,0,0.0307,0.12,4.19e-06,0.125,0.731,137.453,169000,4
154,Back In The U.S.S.R. - 2018 Mix,The Beatles,0.51,0.893,9,-9.267,1,0.0342,0.00102,5.85e-05,0.201,0.934,142.657,163467,4
